rank_test_score,std_test_score,param_knn__n_neighbors,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
1,0.0006512854746550663,29,1.751372718811035,0.22470534528016256,15.56598424911499,0.1384729733427939,0.8530046116887899,0.8546441284258885,0.8535744971856424,0.8547230356485297,0.8538638236686598
2,0.000856211487034436,25,1.8159346103668212,0.07849398178868733,15.062075424194337,0.6965253331697076,0.8529081695277841,0.8550386645390942,0.853311473110172,0.8548282452787178,0.8534780550246366
3,0.0006625005106544386,23,1.7557619571685792,0.10438574267567759,14.503418588638306,0.34973372087464016,0.8532676357642602,0.8549422223780884,0.8535481947780954,0.8543986392887829,0.8533202405793544
4,0.0007760195884882927,27,1.7139856338500976,0.011015167870132668,15.171866703033448,0.3650276211781462,0.8526889827982255,0.8547756404636238,0.8536007995931895,0.8546879657718003,0.8536358694699188
5,0.0008587394801826825,21,1.6565826892852784,0.09280414616542623,14.008865451812744,0.13455642453812222,0.8529607743428782,0.8550123621315471,0.8534692875554543,0.8546090585491593,0.8529344719353311
6,0.0007623040938387803,28,1.6121193408966064,0.023959062569111768,15.189313793182373,0.08055631921692458,0.8526451454523137,0.8546967332409826,0.8537235441617422,0.854477546511424,0.8532413333567133
7,0.0007221457332568005,19,1.7758987903594972,0.05077571347388561,13.491390371322632,0.05645547956340552,0.8531536586648898,0.8547756404636238,0.853057216503884,0.8544424766346946,0.8532588682950779
8,0.0006387003514531236,30,1.7133384704589845,0.1250540685412301,15.775216674804687,0.14946347337880814,0.8526977502674078,0.8543197320661418,0.8537060092233776,0.8544337091655123,0.8533640779252661
9,0.0007274865338813949,26,1.7120018005371094,0.05998848737013318,15.109051084518432,0.1985995767456025,0.8526977502674078,0.8545739886724298,0.8534868224938189,0.854451244103877,0.8531799610724369
10,0.0009153338601321976,22,1.6769997119903564,0.08966738920913672,13.95028738975525,0.1087483334219896,0.8529607743428782,0.854907152501359,0.8531273562573427,0.8546002910799768,0.8526714478598608
11,0.0008561037472711035,24,1.597055149078369,0.02085998252195924,14.686091756820678,0.462432029589893,0.8526276105139491,0.8548808500938119,0.8534868224938189,0.8541093128057655,0.8526977502674078
12,0.0007419081947464627,17,1.914609718322754,0.34399342440462133,13.060678720474243,0.23138952134437776,0.8524434936611198,0.8543197320661418,0.8531799610724369,0.8542934296585948,0.8530046116887899
13,0.0007733762649528159,20,1.7006099700927735,0.0895661424596468,14.013094186782837,0.5047518444792621,0.8526188430447666,0.8546353609567062,0.8529344719353311,0.8540742429290361,0.8529607743428782
14,0.0005514842655275272,15,1.7419275760650634,0.19814238282170238,12.65364179611206,0.2981530670228299,0.8524522611303021,0.853969033298848,0.8534254502095425,0.8536972417541953,0.8528730996510547
15,0.000672994498067881,18,1.7591465950012206,0.08201496764567318,13.28355073928833,0.14162693160156964,0.8523821213768433,0.8541005453365832,0.8528906345894194,0.8539778007680303,0.8528906345894194
16,0.00060923250156022,16,1.731947135925293,0.05851875629641191,12.601770639419556,0.16760067079288749,0.8517420961265321,0.8533553104560837,0.8529607743428782,0.8531887285416192,0.8522506093391081
17,0.0007507042772899432,13,1.6923489570617676,0.0619429396649961,11.829040956497192,0.26108204080501957,0.8515842816812499,0.8535832646548247,0.8524522611303021,0.8531624261340721,0.851891143102632
18,0.0005562473820642372,14,1.720112133026123,0.06782077780507763,12.048499584197998,0.10316078150147857,0.8515579792737028,0.8527941924284136,0.8521980045240141,0.8530484490347017,0.8518736081642673
19,0.0008616669426082077,12,1.7498385429382324,0.18077459849322985,11.47692518234253,0.20645305940800812,0.8506373950095566,0.8525399358221256,0.8509968612460327,0.8524347261919374,0.8506198600711918
20,0.0007545730386803624,11,1.7299850940704347,0.1429431655384837,11.51236662864685,0.10334425448230325,0.8504445106875449,0.852119097301373,0.8508215118623857,0.8522067719931965,0.8506636974171036
21,0.0009842803094511207,9,1.7518767833709716,0.10956411185098279,10.647959232330322,0.26038158267287415,0.848848831296358,0.8511283732837679,0.8498220203755984,0.850698767293833,0.8486296445667993
22,0.0007809330037950158,10,1.7261431217193604,0.07221731845679806,11.23428430557251,0.3867623123448153,0.8490154132108225,0.8505760227252801,0.849611601115222,0.8508741166774799,0.8489978782724579
23,0.0007056500172185151,8,1.7745371341705323,0.18469014071275944,10.301148700714112,0.21957923673469124,0.8464290098020305,0.8482000385768644,0.8480422241315821,0.8482964807378702,0.8472969892510828
24,0.0009297552801440584,7,1.8581038475036622,0.287369546936781,9.889270925521851,0.2290848157933995,0.8465868242473128,0.8481298988234056,0.8485595048133405,0.8482526433919585,0.8463062652334777
25,0.0008561001557121807,6,1.9031645774841308,0.42466069268777756,9.699267244338989,0.2593503346741224,0.8423170667555103,0.8437198618246857,0.843956583492609,0.8447368882498378,0.8428080450297217
